Date,Open,High,Low,Close,Volume
2026-05-04 04:00:00,674.66,676.73,668.9,672.88,34541990.267085
2026-05-05 04:00:00,677.96,682.7734,677.51,681.61,37101063.589304
2026-05-06 04:00:00,687.78,695.93,686.48,695.77,38778492.371327
2026-05-07 04:00:00,696.58,701.24,691.77,694.94,43779087.878143
2026-05-08 04:00:00,699.92,711.23,699.5,711.23,44320421.872176
2026-05-11 04:00:00,710.36,714.59,708.91,713.29,36019146.312207
