Date,Ticker,Adj Close,Close,High,Low,Open,Volume
2006-05-15,AAPL,2.0293221473693848,2.4210710525512695,2.442142963409424,2.3971428871154785,2.4060709476470947,529177600
2006-05-16,AAPL,1.9452033042907715,2.320713996887207,2.4375,2.3125,2.432142972946167,936740000
2006-05-17,AAPL,1.9535858631134033,2.330713987350464,2.3464291095733643,2.2882139682769775,2.3110709190368652,754194000
2006-05-18,AAPL,1.891320824623108,2.2564289569854736,2.366429090499878,2.254286050796509,2.3457140922546387,658442400
2006-05-19,AAPL,1.9311349391937256,2.303929090499878,2.317142963409424,2.2435710430145264,2.2592859268188477,985866000
2006-05-22,AAPL,1.8973067998886108,2.26357102394104,2.2853569984436035,2.241786003112793,2.2810709476470947,718975600
2006-05-23,AAPL,1.8904218673706055,2.255357027053833,2.328213930130005,2.25,2.3164288997650146,694414000
2006-05-24,AAPL,1.8961101770401,2.2621428966522217,2.273214101791382,2.198570966720581,2.249643087387085,916031200
2006-05-25,AAPL,1.9257457256317139,2.297499895095825,2.301785945892334,2.260356903076172,2.2950000762939453,463372000
2006-05-26,AAPL,1.90239679813385,2.2696430683135986,2.3057138919830322,2.255000114440918,2.296786069869995,432950000
2006-05-30,AAPL,1.8326478004455566,2.186429023742676,2.260714054107666,2.186429023742676,2.260356903076172,563402000
2006-05-31,AAPL,1.7892398834228516,2.134643077850342,2.2067859172821045,2.0960710048675537,2.205713987350464,1280977600
2006-06-01,AAPL,1.8610849380493164,2.2203569412231445,2.2242860794067383,2.125714063644409,2.137500047683716,942508000
2006-06-02,AAPL,1.8458186388015747,2.2021429538726807,2.253571033477783,2.174285888671875,2.249643087387085,685787200
2006-06-05,AAPL,1.7961257696151733,2.142857074737549,2.183928966522217,2.1417860984802246,2.183928966522217,605785600
2006-06-06,AAPL,1.787743091583252,2.132857084274292,2.1653571128845215,2.103929042816162,2.1507139205932617,726037200
2006-06-07,AAPL,1.7530194520950317,2.0914289951324463,2.1571431159973145,2.0839290618896484,2.1464290618896484,750506400
2006-06-08,AAPL,1.8188765048980713,2.1700000762939453,2.1760709285736084,2.0410709381103516,2.0871429443359375,1397482800
2006-06-09,AAPL,1.7733745574951172,2.1157140731811523,2.198570966720581,2.1107139587402344,2.184999942779541,775838000
2006-06-12,AAPL,1.7063190937042236,2.0357139110565186,2.133213996887207,2.0342860221862793,2.121428966522217,717785600
2006-06-13,AAPL,1.7461330890655518,2.083214044570923,2.1107139587402344,2.0485711097717285,2.057499885559082,1080643200
2006-06-14,AAPL,1.7245805263519287,2.057499885559082,2.0992860794067383,2.0246429443359375,2.0814290046691895,878136000
2006-06-15,AAPL,1.7775651216506958,2.120713949203491,2.133570909500122,2.0267860889434814,2.046428918838501,1190383600
2006-06-16,AAPL,1.7230831384658813,2.0557138919830322,2.113929033279419,2.054286003112793,2.1057140827178955,838101600
2006-06-19,AAPL,1.7123059034347534,2.0428569316864014,2.07785701751709,2.0357139110565186,2.065356969833374,704575200
2006-06-20,AAPL,1.720388650894165,2.052500009536743,2.0839290618896484,2.0460710525512695,2.057499885559082,672974400
2006-06-21,AAPL,1.7320642471313477,2.0664288997650146,2.0967860221862793,2.046428918838501,2.062143087387085,863296000
2006-06-22,AAPL,1.7835524082183838,2.127856969833374,2.1339290142059326,2.0739290714263916,2.078571081161499,965633200
2006-06-23,AAPL,1.7611002922058105,2.1010708808898926,2.1489291191101074,2.0975000858306885,2.132857084274292,660203600
2006-06-26,AAPL,1.765891432762146,2.106786012649536,2.114285945892334,2.0846428871154785,2.1132140159606934,466536000
2006-06-27,AAPL,1.719191312789917,2.0510709285736084,2.115000009536743,2.049999952316284,2.1103570461273193,550611600
2006-06-28,AAPL,1.6769822835922241,2.000714063644409,2.046428918838501,1.978929042816162,2.0460710525512695,850704400
2006-06-29,AAPL,1.7652915716171265,2.1060709953308105,2.1103570461273193,2.0139288902282715,2.0271430015563965,873398400
2006-06-30,AAPL,1.7144017219543457,2.0453569889068604,2.0625,2.017857074737549,2.056786060333252,739695600
2006-07-03,AAPL,1.7347577810287476,2.069643020629883,2.07785701751709,2.0478570461273193,2.054286003112793,194770800
2006-07-05,AAPL,1.7063190937042236,2.0357139110565186,2.057142972946167,2.0199999809265137,2.0410709381103516,518240800
2006-07-06,AAPL,1.6694989204406738,1.991786003112793,2.049999952316284,1.986070990562439,2.038928985595703,633208800
2006-07-07,AAPL,1.6584224700927734,1.9785710573196411,2.0196430683135986,1.9524999856948853,1.9814289808273315,799360800
2006-07-10,AAPL,1.6464483737945557,1.964285969734192,2.0174999237060547,1.9464290142059326,1.989285945892334,529345600
2006-07-11,AAPL,1.6659058332443237,1.9874999523162842,1.9996429681777954,1.9474999904632568,1.9682140350341797,825022800
2006-07-12,AAPL,1.5853805541992188,1.8914289474487305,1.9728569984436035,1.8899999856948853,1.9703569412231445,927329200
2006-07-13,AAPL,1.5641255378723145,1.8660709857940674,1.9328570365905762,1.8360710144042969,1.858214020729065,1249906000
2006-07-14,AAPL,1.5168280601501465,1.809643030166626,1.888929009437561,1.791429042816162,1.875,993036800
2006-07-17,AAPL,1.5677180290222168,1.8703570365905762,1.8967859745025635,1.844642996788025,1.847499966621399,1024542400
2006-07-18,AAPL,1.5835843086242676,1.8892860412597656,1.9232139587402344,1.8517860174179077,1.8985710144042969,1000448400
2006-07-19,AAPL,1.6195067167282104,1.932142972946167,1.9671430587768555,1.8700000047683716,1.8914289474487305,1390743200
2006-07-20,AAPL,1.8110930919647217,2.1607139110565186,2.1996428966522217,2.132857084274292,2.177143096923828,1972146400
2006-07-21,AAPL,1.8176790475845337,2.1685709953308105,2.183928966522217,2.130000114440918,2.1364290714263916,891892400
2006-07-24,AAPL,1.8386338949203491,2.193571090698242,2.2178568840026855,2.1582140922546387,2.187856912612915,722856400
2006-07-25,AAPL,1.8539015054702759,2.2117860317230225,2.2174999713897705,2.1707139015197754,2.2064290046691895,589069600
2006-07-26,AAPL,1.9119755029678345,2.2810709476470947,2.3085711002349854,2.20285701751709,2.2142860889434814,898427600
2006-07-27,AAPL,1.8979060649871826,2.2642860412597656,2.322143077850342,2.244999885559082,2.3035709857940674,735044800
2006-07-28,AAPL,1.9634642601013184,2.3424999713897705,2.3457140922546387,2.267857074737549,2.2835710048675537,691507600
2006-07-31,AAPL,2.034411668777466,2.427143096923828,2.45107102394104,2.367142915725708,2.3867859840393066,892841600
2006-08-01,AAPL,2.0110623836517334,2.3992860317230225,2.4260709285736084,2.3550000190734863,2.4007139205932617,711765600
2006-08-02,AAPL,2.0403995513916016,2.434286117553711,2.45285701751709,2.4110710620880127,2.4160709381103516,550768400
2006-08-03,AAPL,2.0832059383392334,2.4853570461273193,2.5,2.421786069869995,2.4253571033477783,841044400
2006-08-04,AAPL,2.0445899963378906,2.43928599357605,2.450356960296631,2.319999933242798,2.3946430683135986,1852866400
2006-08-07,AAPL,2.0119597911834717,2.4003570079803467,2.4857139587402344,2.3682138919830322,2.4185709953308105,1245512800
2006-08-08,AAPL,1.9392167329788208,2.313570976257324,2.3967859745025635,2.303929090499878,2.396070957183838,997864000
2006-08-09,AAPL,1.903592586517334,2.271070957183838,2.3428568840026855,2.2642860412597656,2.3367860317230225,955838800
2006-08-10,AAPL,1.9179630279541016,2.2882139682769775,2.314642906188965,2.239285945892334,2.2589290142059326,697760000
2006-08-11,AAPL,1.9053902626037598,2.273214101791382,2.2903571128845215,2.234999895095825,2.258213996887207,777529200
2006-08-14,AAPL,1.9140710830688477,2.2835710048675537,2.3292860984802246,2.2714290618896484,2.2874999046325684,717620400
2006-08-15,AAPL,1.9892092943191528,2.37321400642395,2.375,2.31428599357605,2.333570957183838,861352800
2006-08-16,AAPL,2.0350098609924316,2.427856922149658,2.4310710430145264,2.368928909301758,2.3964290618896484,781284000
2006-08-17,AAPL,2.0233359336853027,2.413928985595703,2.4521429538726807,2.3992860317230225,2.4285709857940674,581148400
2006-08-18,AAPL,2.032914876937866,2.4253571033477783,2.442857027053833,2.4021430015563965,2.4182140827178955,536354000
2006-08-21,AAPL,1.9925026893615723,2.377142906188965,2.4039289951324463,2.362499952316284,2.4035708904266357,526226400
2006-08-22,AAPL,2.024233341217041,2.4149999618530273,2.440000057220459,2.375,2.3814289569854736,576968000
2006-08-23,AAPL,2.01495361328125,2.4039289951324463,2.4517860412597656,2.390713930130005,2.4285709857940674,536258800
2006-08-24,AAPL,2.029921293258667,2.421786069869995,2.435357093811035,2.366786003112793,2.424643039703369,655191600
2006-08-25,AAPL,2.058060884475708,2.455357074737549,2.4660708904266357,2.4039289951324463,2.4049999713897705,543958800
2006-08-28,AAPL,2.005075454711914,2.3921430110931396,2.450356960296631,2.3814289569854736,2.4464290142059326,738161200
2006-08-29,AAPL,1.990107774734497,2.374285936355591,2.4021430015563965,2.325714111328125,2.3924999237060547,947332400
2006-08-30,AAPL,2.004476308822632,2.3914289474487305,2.42214298248291,2.3814289569854736,2.4049999713897705,680142400
2006-08-31,AAPL,2.031118392944336,2.4232139587402344,2.43928599357605,2.380713939666748,2.4028570652008057,574697200
2006-09-01,AAPL,2.0469837188720703,2.442142963409424,2.4517860412597656,2.42214298248291,2.445713996887207,408494800
2006-09-05,AAPL,2.139784574508667,2.552856922149658,2.5535709857940674,2.448214054107666,2.4632139205932617,1012457600
2006-09-06,AAPL,2.0963776111602783,2.501070976257324,2.560357093811035,2.489285945892334,2.5385708808898926,974103200
2006-09-07,AAPL,2.1792986392974854,2.5999999046325684,2.624285936355591,2.5089290142059326,2.5214290618896484,1267957600
2006-09-08,AAPL,2.1709165573120117,2.5899999141693115,2.627500057220459,2.568213939666748,2.620357036590576,895921600
2006-09-11,AAPL,2.170318365097046,2.5892860889434814,2.633213996887207,2.5507140159606934,2.5867860317230225,949124400
2006-09-12,AAPL,2.1742103099823,2.5939290523529053,2.62321400642395,2.551785945892334,2.6003570556640625,1684687200
2006-09-13,AAPL,2.2212095260620117,2.6500000953674316,2.6542859077453613,2.5821430683135986,2.601785898208618,1146138000
2006-09-14,AAPL,2.2203104496002197,2.6489291191101074,2.666785955429077,2.6235709190368652,2.632857084274292,801729600
2006-09-15,AAPL,2.2182157039642334,2.6464290618896484,2.677856922149658,2.617500066757202,2.664285898208618,981853600
2006-09-18,AAPL,2.2119290828704834,2.6389288902282715,2.6735711097717285,2.617856979370117,2.635714054107666,705278000
2006-09-19,AAPL,2.20833683013916,2.634643077850342,2.6557140350341797,2.5999999046325684,2.6464290618896484,710049200
2006-09-20,AAPL,2.2529401779174805,2.687856912612915,2.70285701751709,2.6507139205932617,2.6564290523529053,822791200
2006-09-21,AAPL,2.234679698944092,2.6660709381103516,2.7164289951324463,2.643570899963379,2.6875,794124800
2006-09-22,AAPL,2.185286521911621,2.607142925262451,2.6549999713897705,2.5921430587768555,2.6535708904266357,665112000
2006-09-25,AAPL,2.267608880996704,2.705357074737549,2.7092859745025635,2.632857084274292,2.636070966720581,858992400
2006-09-26,AAPL,2.3232884407043457,2.7717859745025635,2.7778570652008057,2.7178568840026855,2.7207140922546387,1102948000
2006-09-27,AAPL,2.2873663902282715,2.728929042816162,2.7667860984802246,2.7078568935394287,2.756071090698242,810373200
