Date,Ticker,Open,High,Low,Close,Volume
2021-05-14 04:00:00,XOM,59.93,60.875,59.93,60.77,20988661.0
2021-05-17 04:00:00,XOM,60.54,62.25,60.43,62.19,25205797.0
2021-05-18 04:00:00,XOM,62.0,62.3,60.4,60.43,25434198.0
2021-05-19 04:00:00,XOM,59.1,59.855,58.415,58.98,29375681.0
2021-05-20 04:00:00,XOM,58.95,59.15,58.24,58.84,20900024.0
2021-05-21 04:00:00,XOM,59.42,59.8317,58.85,58.92,21400439.0
2021-05-24 04:00:00,XOM,59.08,59.8,58.69,59.61,18654275.0
2021-05-25 04:00:00,XOM,59.5,59.54,58.12,58.26,25853017.0
2021-05-26 04:00:00,XOM,58.25,59.12,57.9,58.94,21989641.0
2021-05-27 04:00:00,XOM,59.23,59.7,58.02,58.56,33834634.0
2021-05-28 04:00:00,XOM,58.73,58.8,58.11,58.37,19481517.0
2021-06-01 04:00:00,XOM,59.45,60.695,59.45,60.46,28990090.0
2021-06-02 04:00:00,XOM,60.75,61.31,60.17,60.94,23322012.0
2021-06-03 04:00:00,XOM,60.55,61.41,60.3538,61.18,20469309.0
2021-06-04 04:00:00,XOM,61.46,61.7,60.7758,61.45,20709121.0
2021-06-07 04:00:00,XOM,61.33,61.73,61.02,61.05,15720956.0
2021-06-08 04:00:00,XOM,61.5,62.48,60.67,62.13,29457645.0
2021-06-09 04:00:00,XOM,62.67,63.42,62.19,62.65,29529827.0
2021-06-10 04:00:00,XOM,63.61,63.975,62.25,62.75,28120989.0
2021-06-11 04:00:00,XOM,63.01,63.1922,62.14,62.17,17886085.0
2021-06-14 04:00:00,XOM,62.3,62.78,61.57,62.07,17319161.0
2021-06-15 04:00:00,XOM,62.48,64.4,62.35,64.33,30998197.0
2021-06-16 04:00:00,XOM,64.32,64.8,63.56,64.1,25310455.0
2021-06-17 04:00:00,XOM,63.86,64.46,61.27,61.99,28739698.0
2021-06-18 04:00:00,XOM,61.0,61.55,60.24,60.4,44750498.0
2021-06-21 04:00:00,XOM,60.93,62.7,60.9,62.59,33409626.0
2021-06-22 04:00:00,XOM,62.85,64.01,62.23,63.79,25483341.0
2021-06-23 04:00:00,XOM,64.05,64.7,63.58,64.26,21049340.0
2021-06-24 04:00:00,XOM,64.15,64.56,63.805,64.52,19806638.0
2021-06-25 04:00:00,XOM,64.61,64.925,64.359,64.66,18622115.0
2021-06-28 04:00:00,XOM,64.56,64.56,62.75,63.01,20786699.0
2021-06-29 04:00:00,XOM,63.21,63.77,62.585,62.62,19752064.0
2021-06-30 04:00:00,XOM,62.7,63.23,62.45,63.08,18177331.0
2021-07-01 04:00:00,XOM,64.33,64.42,62.77,63.26,22877209.0
2021-07-02 04:00:00,XOM,63.01,63.32,62.421,63.17,14834060.0
2021-07-06 04:00:00,XOM,62.75,62.76,60.9,61.37,22587905.0
2021-07-07 04:00:00,XOM,61.18,61.81,59.62,60.41,21866545.0
2021-07-08 04:00:00,XOM,59.45,60.705,59.31,60.14,19321380.0
2021-07-09 04:00:00,XOM,60.695,61.45,60.2375,61.23,20354327.0
2021-07-12 04:00:00,XOM,60.42,61.5,60.16,61.17,21920709.0
2021-07-13 04:00:00,XOM,61.0,61.51,60.5099,60.88,17317101.0
