date,signal,p_vol,p_pnl,p_wk,spy_open,gap,strike,contract,entry,high,close,peak%,held%
2024-08-08,GO_HOT,0.4786284645470131,0.1884082068117524,0.0254980883910752,523.91,1.0122238075039425,529.0,O:SPY240808C00529000,0.81,2.78,1.95,243.20987654320984,140.7407407407407
2024-12-24,GO_HOT,0.3860659870589532,0.107973196903553,0.014513766197639,596.06,0.2303721266541991,601.0,O:SPY241224C00601000,0.05,1.17,0.3,2240.0,499.9999999999999
2024-12-26,GO_HOT,0.3564352920402662,0.0749487470162748,0.0239520536236159,599.5,-0.2993514052885393,605.0,O:SPY241226C00605000,0.1,0.14,0.01,40.000000000000014,-90.0
2025-03-04,GO_HOT,0.5499610156532828,0.1473241171291518,0.1113666724755486,579.71,-0.6954793840039608,585.0,O:SPY250304C00585000,0.86,1.42,0.01,65.11627906976744,-98.83720930232558
2025-03-05,GO_HOT,0.7114543231918067,0.2167154859047331,0.0352015460426392,576.69,-0.0294698887078226,582.0,O:SPY250305C00582000,1.14,3.2,0.67,180.70175438596493,-41.22807017543859
2025-03-06,GO_HOT,0.6754994149184622,0.150919545034538,0.1121983746975998,575.48,-1.3000377319658196,580.0,O:SPY250306C00580000,1.21,2.78,0.01,129.75206611570246,-99.17355371900827
2025-03-07,GO_HOT,0.6022682223800734,0.1744749128804802,0.0801809138653316,570.9,-0.3160412774353638,576.0,O:SPY250307C00576000,1.58,3.15,0.18,99.36708860759491,-88.60759493670886
2025-03-10,GO_HOT,0.4497108072205591,0.068800008145399,0.1089126260440372,567.59,-1.4463814418669174,573.0,O:SPY250310C00573000,1.11,1.61,0.01,45.04504504504505,-99.09909909909909
2025-03-11,GO_HOT,0.693709605591157,0.1269849983116345,0.0678058382475042,559.4,-0.2104962717185854,564.0,O:SPY250311C00564000,1.47,2.13,0.01,44.89795918367348,-99.31972789115646
2025-03-12,GO_HOT,0.7234847950225821,0.2080256810306353,0.1032540127699949,562.17,1.124262483810612,567.0,O:SPY250312C00567000,1.11,1.38,0.01,24.324324324324298,-99.09909909909909
2025-03-13,GO_HOT,0.6165763865369355,0.2518328436093046,0.2413456234381694,558.49,-0.0679943457333576,563.0,O:SPY250313C00563000,1.0,1.05,0.01,5.000000000000004,-99.0
2025-03-14,GO_HOT,0.6885814029003028,0.2121389623248106,0.1263373771820219,556.11,0.8505313554096894,561.0,O:SPY250314C00561000,0.75,2.79,0.69,272.0,-8.000000000000007
2025-03-17,GO_HOT,0.5629639657429971,0.1012210386426973,0.4541257608603357,562.79,-0.0035535971286915,568.0,O:SPY250317C00568000,0.44,1.91,0.02,334.09090909090907,-95.45454545454545
2025-03-18,GO_HOT,0.625531132973962,0.3164192499977095,0.3099153587311235,564.8,-0.4143524640747631,570.0,O:SPY250318C00570000,0.44,0.44,0.01,0.0,-97.72727272727273
2025-03-19,GO_HOT,0.507693390759634,0.2904442973618305,0.2858715753600236,562.83,0.322626644326407,568.0,O:SPY250319C00568000,0.71,3.15,0.03,343.6619718309859,-95.77464788732395
2025-03-20,GO_HOT,0.608391840528557,0.1898873378077814,0.2551272160612956,563.33,-0.6700403787491371,568.0,O:SPY250320C00568000,0.68,3.33,0.01,389.7058823529411,-98.52941176470588
2025-03-21,GO_HOT,0.5106296166856331,0.4758247333019192,0.1877231271325988,559.28,-1.0981626553962065,564.0,O:SPY250321C00564000,0.8,1.35,0.58,68.75,-27.500000000000014
2025-04-02,GO_HOT,0.4805751352928446,0.2217847925673102,0.207614270130245,555.05,-1.0553149009751128,560.0,O:SPY250402C00560000,1.28,8.41,8.17,557.03125,538.28125
2025-04-03,GO_HOT,0.689977169726699,0.1239761249646078,0.1024740828068158,545.11,-3.438319280096358,550.0,O:SPY250403C00550000,1.52,2.58,0.01,69.73684210526316,-99.3421052631579
2025-04-04,GO_HOT,0.9324948920540092,0.2309543887193041,0.1058933701886304,523.67,-2.42779951555806,529.0,O:SPY250404C00529000,2.82,3.02,0.01,7.092198581560294,-99.64539007092199
2025-04-07,GO_HOT,0.974931601538882,0.0894787462926862,0.0704342714008587,489.19,-3.1843730208993004,494.0,O:SPY250407C00494000,4.89,28.6,13.61,484.8670756646217,178.3231083844581
2025-04-08,GO_HOT,0.98911657262331,0.1609905554762344,0.1194325685849422,521.86,3.465640984971663,527.0,O:SPY250408C00527000,3.27,3.46,0.01,5.810397553516822,-99.69418960244649
2025-04-09,GO_HOT,0.9992941552004664,0.097477928064378,0.1014599239948317,493.44,-0.6123106670963607,498.0,O:SPY250409C00498000,6.65,47.51,45.24,614.4360902255638,580.3007518796992
2025-04-10,GO_HOT,0.999901800457459,0.2978474038217202,0.7667565836299031,532.17,-2.998432430461895,537.0,O:SPY250410C00537000,3.67,5.06,0.01,37.87465940054495,-99.72752043596729
2025-04-11,GO_JACKPOT,0.9999952757500006,0.7696380029810294,0.4653098034237414,523.01,-0.2992870486865806,528.0,O:SPY250411C00528000,4.07,9.09,6.4,123.34152334152333,57.24815724815724
2025-04-14,GO_JACKPOT,0.999913631269596,0.7691863574048319,0.4391753375336866,544.05,1.8934711765366647,549.0,O:SPY250414C00549000,1.47,1.47,0.01,0.0,-99.31972789115646
2025-04-15,GO_JACKPOT,0.9995677193065556,0.6563042348971108,0.4597957469630143,539.675,0.1029455408814161,545.0,O:SPY250415C00545000,0.77,1.45,0.01,88.3116883116883,-98.7012987012987
2025-04-16,GO_ULTRA_JACKPOT,0.9972098862981632,0.5727746884706947,0.5951631192699749,531.68,-1.1030300775655366,537.0,O:SPY250416C00537000,1.26,1.68,0.01,33.33333333333333,-99.20634920634922
2025-04-17,GO_HOT,0.8086176021082074,0.0767049537966007,0.2328500468287317,527.64,0.3766693299851686,533.0,O:SPY250417C00533000,1.0,1.16,0.01,15.999999999999993,-99.0
2025-04-21,GO_HOT,0.4917653217593213,0.1442127184745617,0.3378140934227179,521.16,-0.997321479455182,526.0,O:SPY250421C00526000,0.96,1.09,0.01,13.541666666666675,-98.95833333333334
2025-04-22,GO_HOT,0.4132188180653856,0.1328094101653001,0.3447559510405256,520.14,1.218183233439718,525.0,O:SPY250422C00525000,0.88,5.0,1.97,468.1818181818182,123.86363636363637
2025-04-23,GO_HOT,0.5144760397766245,0.4307805296028262,0.3850920245322805,540.43,2.4997629208155514,545.0,O:SPY250423C00545000,1.05,3.63,0.01,245.7142857142857,-99.04761904761905
2025-04-24,GO_HOT,0.3953644008530547,0.1956625991708981,0.1498144464801394,536.715,0.2418661984983972,542.0,O:SPY250424C00542000,1.0,6.5,5.88,550.0,488.0
2025-05-23,GO_HOT,0.3282412220949746,0.2178814769771194,0.01134938408549,575.98,-1.2193657925877677,581.0,O:SPY250523C00581000,0.89,1.44,0.01,61.79775280898876,-98.87640449438202
2025-05-29,GO_HOT,0.4369334438286802,0.1319474576786874,0.0060388471981305,593.06,0.906879009068784,598.0,O:SPY250529C00598000,0.45,0.46,0.01,2.2222222222222143,-97.77777777777777
2026-02-05,GO_HOT,0.4792468481537782,0.1148099790392513,0.0400882615004382,680.94,-0.7650942158877294,686.0,O:SPY260205C00686000,1.29,1.81,0.01,40.31007751937985,-99.2248062015504
2026-03-11,GO_HOT,0.3447365409097998,0.1905364737925718,0.1129144830371776,677.58,0.0590684899140603,683.0,O:SPY260311C00683000,0.45,0.79,0.01,75.55555555555556,-97.77777777777777
2026-03-12,GO_HOT,0.3509614408722542,0.2124429871573041,0.1779374968749119,671.16,-0.7644197359277349,676.0,O:SPY260312C00676000,0.76,0.76,0.01,0.0,-98.68421052631578
2026-03-16,GO_HOT,0.3912088000327035,0.1393051607837831,0.2597231739366282,668.38,0.9195367588216596,673.0,O:SPY260316C00673000,0.46,0.87,0.01,89.13043478260869,-97.82608695652173
