date,signal,p_vol,p_pnl,p_wk,spy_open,gap
2024-03-04,SKIP,0.0004597080735406,0.0045884324954672,0.0042365548609811,512.03,-0.1598908062786508
2024-03-05,SKIP,0.0024472780420798,0.0158231632717957,0.0022612391270818,510.24,-0.4021081397618475
2024-03-06,SKIP,0.0029628248461645,0.0128085405750014,0.0033668866112493,510.55,0.6644583776962865
2024-03-07,SKIP,0.0044868775604963,0.0187872590979332,0.0035235108838342,513.14,0.6650318783717468
2024-03-08,SKIP,0.0022663484323204,0.0140415233488036,0.0009923523944246,515.46,0.1262601736563118
2024-03-11,SKIP,0.0114936301177815,0.0071663776180959,0.0034006870543918,510.48,-0.2423200187602558
2024-03-12,SKIP,0.0185048796665765,0.0334390982508216,0.0028189070503151,513.45,0.4244249726177651
2024-03-13,SKIP,0.0143154802082117,0.0168085541705636,0.0022643988549618,517.11,0.0638569604086924
2024-03-14,SKIP,0.0521206908802907,0.0656630680537768,0.008580730570133,516.97,0.1938097176192421
2024-03-15,SKIP,0.0064641168214031,0.0424462154278221,0.0009586065969975,510.21,-0.9204777162831524
2024-03-18,SKIP,0.0038582069344566,0.0115692220527469,0.0027055553384865,514.0,0.817919698723113
2024-03-19,SKIP,0.0052101986661343,0.014371965161391,0.0018925967173161,512.15,-0.138439340170815
2024-03-20,SKIP,0.003142853678673,0.0140287515381376,0.0089270381493812,515.77,0.0116344457156136
2024-03-21,SKIP,0.0032868726591577,0.0229385920979506,0.0040520416454783,523.39,0.5590992929603411
2024-03-22,SKIP,0.0125794994306915,0.0472985619438907,0.0011472963348383,522.11,-0.0172347759479163
2024-03-25,SKIP,0.0010259706385571,0.0039093874791577,0.0005758161230393,519.8,-0.2705243567851845
2024-03-26,SKIP,0.000387400583023,0.0018525299875303,0.0002324978184792,521.23,0.2808934721126643
2024-03-27,SKIP,0.0043479735734689,0.0112062409965026,0.0045939884248167,521.71,0.5589714924538969
2024-03-28,SKIP,0.0022012421959546,0.010210705516873,0.0025744995871716,523.21,0.0076456983389761
2024-04-01,SKIP,0.0019428876020678,0.0055275948015572,0.0019356846243929,523.83,0.1452960406828962
2024-04-02,SKIP,0.0026813061241352,0.0113222461848964,0.0123931171384234,518.24,-0.7507277462846518
2024-04-03,SKIP,0.0071211689668047,0.0220908270407709,0.0120768139335525,517.72,-0.2158661629789504
2024-04-04,SKIP,0.0031588179167381,0.0363089594988949,0.0237630410620243,523.52,0.7912824165880572
2024-04-05,SKIP,0.0085588742239683,0.0222248944223252,0.0035561948618242,514.46,0.2709181982965214
2024-04-08,SKIP,0.0044168093223099,0.006375557995515,0.0022352055676241,519.15,0.1388808518025586
2024-04-09,SKIP,0.0212749830452484,0.0238870210668505,0.0015619886653318,520.5,0.3431523750771159
2024-04-10,SKIP,0.011564883235734,0.010341299101405,0.0017418567560065,513.48,-1.124547485172922
2024-04-11,SKIP,0.0099371314635174,0.0335761847719879,0.001062027149538,515.68,0.3034311055784444
2024-04-12,SKIP,0.0125867068370413,0.0222264874026155,0.0016575861605403,514.37,-0.7007722007722039
2024-04-15,SKIP,0.0150386334221175,0.0051716741597755,0.002130016523981,515.13,0.8378193207399409
2024-04-16,SKIP,0.0440355721692105,0.0098551488962123,0.0018739709451226,504.94,0.0971354941024849
2024-04-17,SKIP,0.044260111670345,0.0098257035724676,0.0020804322295583,506.05,0.5004667050622746
2024-04-18,SKIP,0.1172144253679374,0.0298696945311152,0.0042252467249783,501.98,0.2856857456797534
2024-04-19,SKIP,0.0201357999972532,0.0713781166517638,0.0049616471781194,499.44,-0.0160153747597702
2024-04-22,SKIP,0.0782032115651842,0.0541591444862458,0.0033122332523369,497.83,0.5392196461749599
2024-04-23,SKIP,0.0784964294479971,0.0945184624149669,0.0161508006396219,501.78,0.4122308492755744
2024-04-24,SKIP,0.0667904379962737,0.0559239138346567,0.0153835264803302,506.56,0.1799663799070483
2024-04-25,SKIP,0.1009789646975592,0.1482416973594902,0.0465255561276289,499.18,-1.2326625907678967
2024-04-26,SKIP,0.1257492609314469,0.1469694540150179,0.0131142042274385,506.35,0.5680351148980245
2024-04-29,SKIP,0.0170688820932347,0.0499980742521525,0.0106522105526177,510.09,0.3600519419194814
2024-04-30,SKIP,0.0408196034388618,0.0765388698663757,0.0338506005973969,508.56,-0.294083049053051
2024-05-01,SKIP,0.0547542989551372,0.0496068496719962,0.0421159255881114,501.38,-0.1195266743694967
2024-05-02,SKIP,0.1005862390116409,0.1200468241358097,0.0407997891983715,504.15,0.7594683721394935
2024-05-03,SKIP,0.0956237709078346,0.1689643171130402,0.0588651659608252,511.16,1.213789279844768
2024-05-06,SKIP,0.0070885368735252,0.0300607728737795,0.0084330430857733,513.75,0.4811359502435053
2024-05-07,SKIP,0.0197266383178488,0.1407932668117984,0.0466801891398932,517.56,0.191648760090568
2024-05-08,SKIP,0.0351484260226462,0.0636808946277544,0.010264747732913,515.26,-0.3635379200989996
2024-05-09,SKIP,0.0123064611097041,0.0159031954715069,0.026077598893224,517.38,0.036736982540253
2024-05-10,SKIP,0.0137476936380455,0.0386250699709719,0.0256377350729946,521.81,0.3152815425726096
