date,signal,p_vol,p_pnl,p_wk,spy_open,gap,strike,contract,entry,high,close,peak%,held%
2026-02-05,GO_HOT,0.47924684815377827,0.11480997903925137,0.040088261500438295,680.94,-0.7650942158877294,686.0,O:SPY260205C00686000,1.29,1.81,0.01,40.31007751937985,-99.2248062015504
2026-03-11,GO_HOT,0.3447365409097998,0.19053647379257185,0.11291448303717765,677.58,0.05906848991406033,683.0,O:SPY260311C00683000,0.45,0.79,0.01,75.55555555555556,-97.77777777777777
2026-03-12,GO_HOT,0.3509614408722542,0.2124429871573041,0.17793749687491198,671.16,-0.7644197359277349,676.0,O:SPY260312C00676000,0.76,0.76,0.01,0.0,-98.68421052631578
2026-03-16,GO_HOT,0.39120880003270353,0.13930516078378313,0.2597231739366282,668.38,0.9195367588216596,673.0,O:SPY260316C00673000,0.46,0.87,0.01,89.13043478260869,-97.82608695652173
2026-03-19,GO_HOT,0.4080608266035984,0.23622487775556444,0.20873977799646184,656.97,-0.6742965997913464,662.0,O:SPY260319C00662000,0.97,2.02,0.04,108.24742268041238,-95.87628865979381
2026-03-23,GO_HOT,0.3450928022100288,0.10386350168416636,0.06906598627019812,658.07,1.4647609355967761,663.0,O:SPY260323C00663000,1.24,1.49,0.01,20.161290322580648,-99.19354838709677
2026-03-24,GO_HOT,0.4541807172113761,0.17101070029591314,0.07563668344667955,651.32,-0.6194879306661738,656.0,O:SPY260324C00656000,0.95,2.24,0.01,135.78947368421055,-98.94736842105263
2026-03-27,GO_HOT,0.300174988702935,0.1271332850361853,0.09194922418416322,642.5,-0.4014943651273528,647.0,O:SPY260327C00647000,0.86,0.95,0.01,10.465116279069765,-98.83720930232558
2026-03-31,GO_HOT,0.5476181434185876,0.16787333226031492,0.1554293897944778,638.94,1.1029004541354803,644.0,O:SPY260331C00644000,0.83,7.53,6.33,807.2289156626507,662.6506024096386
2026-04-01,GO_HOT,0.557191482457306,0.13558042024864134,0.08273796757422873,653.9,0.5474059722606617,659.0,O:SPY260401C00659000,0.38,0.76,0.01,100.0,-97.36842105263158
2026-04-02,GO_HOT,0.6201753516878526,0.3696289034628978,0.17949667117965398,646.42,-1.3460716683963203,651.0,O:SPY260402C00651000,0.82,6.82,4.75,731.7073170731709,479.26829268292687
2026-04-07,GO_HOT,0.4577551430328086,0.2966510940045769,0.28767616183054684,656.65,-0.3460155099934692,662.0,O:SPY260407C00662000,0.67,0.8,0.29,19.402985074626855,-56.71641791044777
2026-04-08,GO_HOT,0.3536709130390368,0.36079107747092576,0.22757660949112393,676.39,2.604593307241876,681.0,O:SPY260408C00681000,0.46,0.53,0.01,15.217391304347828,-97.82608695652173
