days_analysed,avg_price,drop_days,drop_freq_pct,median_drop_pts,median_drop_pct,recovery_rate_pct,median_range_pct,avg_volume_M,ticker,score
84,399.80208333333326,71,84.52380952380952,6.185000000000002,1.4782499169844252,46.478873239436616,3.1923713566785463,62.38591707142857,TSLA,10.5348254770392
84,189.00250000000003,62,73.80952380952381,2.9924999999999926,1.522197997585439,43.54838709677419,2.6111023670021374,171.57252357142858,NVDA,7.049976390905771
84,428.3267857142857,61,72.61904761904762,5.149999999999977,1.2652531829852642,44.26229508196721,2.3651850377638395,9.037722785714285,SMH,6.385999601962367
84,636.9187499999999,70,83.33333333333334,8.319999999999993,1.3502733838040502,40.0,2.2654884906710437,16.256602,META,6.3433677738789225
84,229.58869047619052,64,76.19047619047619,2.961999999999989,1.1816614398402234,37.5,2.4700428228495235,50.08041454761904,AMZN,5.928102774838856
84,74.03011904761905,60,71.42857142857143,1.3475000000000037,1.8048826618208764,31.666666666666664,2.826689698537848,9.687403226190476,ARKK,5.37071042722191
84,408.7795238095238,64,76.19047619047619,5.347449999999981,1.439728582259016,31.25,2.0585881733992943,36.58855813095238,MSFT,4.117176346798589
84,145.87416666666667,57,67.85714285714286,1.4799999999999898,1.0010634006820291,36.84210526315789,1.8493160331935112,17.05377921428571,XLK,3.8835636697063727
84,264.16738095238094,53,63.095238095238095,3.3500000000000227,1.2204798790855702,33.9622641509434,2.045942618947584,47.500385785714286,AAPL,3.682696714105651
84,55.63440476190475,54,64.28571428571429,0.5950000000000024,1.0826460643128772,33.33333333333333,1.872902313829377,54.698461583333334,XLE,3.371224164892878
84,263.16535714285715,54,64.28571428571429,2.8549999999999898,1.0599919141341818,31.48148148148148,1.5885391423793596,39.69473416666666,IWM,2.700516542044911
84,445.22333333333336,58,69.04761904761905,4.8224999999999625,1.0925792062157673,24.137931034482758,1.505409135344749,15.456583273809525,GLD,2.107572789482649
84,51.5747619047619,44,52.38095238095239,0.4800000000000004,0.9336727937564295,27.27272727272727,1.2928359812396257,49.95203777380952,XLF,1.5514031774875507
84,484.9994047619048,45,53.57142857142857,3.930000000000007,0.8045625827477316,28.888888888888886,1.0778065614771843,6.2669595,DIA,1.4011485299203394
84,621.7813095238096,43,51.19047619047619,6.199999999999932,0.9561851297789874,20.930232558139537,1.4292459430085738,59.123495511904764,QQQ,1.2863213487077167
84,687.9561904761906,41,48.80952380952381,5.150000000000091,0.7288694392288398,21.951219512195124,1.017243883488006,78.16267814285715,SPY,0.9155194951392055
84,87.3532142857143,16,19.047619047619047,0.5999999999999943,0.6901757680850176,6.25,0.5725711226995046,35.25802121428572,TLT,0.057257112269950464
